truy_van	luot_nhap	hien_thi	ctr	vi_tri	tu_khoa_chuan_hoa	nhom_dich_vu	tieu_chuan_chung_nhan	nganh_chu_de	y_dinh_chinh	giai_doan_pheu	loai_trang	cum_chu_de	co_hoi_seo	uu_tien_seo	ghi_chu
ma trận swot	352	4428	7.95%	2.76	ma trận swot	Công cụ cải tiến/quản lý	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Công cụ cải tiến/quản lý	Nhiều hiển thị - cần tối ưu CTR/title	Trung bình	Cần kiểm tra SERP trước khi quyết định page
fmea	160	1827	8.76%	2.85	fmea	Công cụ cải tiến/quản lý	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Công cụ cải tiến/quản lý	Nhiều hiển thị - cần tối ưu CTR/title	Trung bình	Cần kiểm tra SERP trước khi quyết định page
7 công cụ qc	131	786	16.67%	1.81	7 công cụ qc	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Đang có click - nên tối ưu để tăng lead	Trung bình	Cần kiểm tra SERP trước khi quyết định page
kna cert	100	511	19.57%	2.81	kna cert	Brand KNA	Khác	Đa ngành	Điều hướng	BOFU	Trang brand	Brand KNA	Đang có click - nên tối ưu để tăng lead	Trung bình	Brand query - kiểm tra trang đích và CTR
7 công cụ quản lý chất lượng	92	480	19.17%	1.09	7 công cụ quản lý chất lượng	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Đang có click - nên tối ưu để tăng lead	Trung bình	Cần kiểm tra SERP trước khi quyết định page
fmea là gì	89	1193	7.46%	1.87	fmea là gì	Công cụ cải tiến/quản lý	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Công cụ cải tiến/quản lý	Nhiều hiển thị - cần tối ưu CTR/title	Trung bình	Keyword thông tin - dùng internal link về trang dịch vụ
qa là gì	78	10844	0.72%	3.32	qa là gì	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Nhiều hiển thị - cần tối ưu CTR/title	Trung bình	Keyword thông tin - dùng internal link về trang dịch vụ
kna	72	985	7.31%	5.81	kna	Brand KNA	Khác	Đa ngành	Điều hướng	BOFU	Trang brand	Brand KNA	Đang có click - nên tối ưu để tăng lead	Trung bình	Brand query - kiểm tra trang đích và CTR
coa là gì	68	6600	1.03%	2.71	coa là gì	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Nhiều hiển thị - cần tối ưu CTR/title	Trung bình	Keyword thông tin - dùng internal link về trang dịch vụ
knacert	43	122	35.25%	1.0	knacert	Brand KNA	Khác	Đa ngành	Điều hướng	BOFU	Trang brand	Brand KNA	Đang có click - nên tối ưu để tăng lead	Trung bình	Brand query - kiểm tra trang đích và CTR
certificate of analysis	37	581	6.37%	3.91	certificate of analysis	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Đang có click - nên tối ưu để tăng lead	Trung bình	Cần kiểm tra SERP trước khi quyết định page
7 qc tools	35	283	12.37%	5.92	7 qc tools	Công cụ cải tiến/quản lý	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Công cụ cải tiến/quản lý	Đang có click - nên tối ưu để tăng lead	Trung bình	Cần kiểm tra SERP trước khi quyết định page
công ty tnhh chứng nhận kna	34	286	11.89%	4.94	công ty tnhh chứng nhận kna	Brand KNA	Khác	Đa ngành	Điều hướng	BOFU	Trang brand	Brand KNA	Đang có click - nên tối ưu để tăng lead	Trung bình	Brand query - kiểm tra trang đích và CTR
7 công cụ kiểm soát chất lượng	34	137	24.82%	1.45	7 công cụ kiểm soát chất lượng	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Đang có click - nên tối ưu để tăng lead	Trung bình	Cần kiểm tra SERP trước khi quyết định page
7 công cụ qc là gì	33	151	21.85%	1.55	7 công cụ qc là gì	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Đang có click - nên tối ưu để tăng lead	Trung bình	Keyword thông tin - dùng internal link về trang dịch vụ
bsci	32	1044	3.07%	5.59	bsci	Audit/trách nhiệm xã hội	BSCI	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	BSCI	Nhiều hiển thị - cần tối ưu CTR/title	Trung bình	Cần kiểm tra SERP trước khi quyết định page
coa	29	5635	0.51%	4.31	coa	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Nhiều hiển thị - cần tối ưu CTR/title	Trung bình	Cần kiểm tra SERP trước khi quyết định page
lean six sigma	29	1357	2.14%	3.94	lean six sigma	Công cụ cải tiến/quản lý	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Công cụ cải tiến/quản lý	Nhiều hiển thị - cần tối ưu CTR/title	Trung bình	Cần kiểm tra SERP trước khi quyết định page
7 qc tools là gì	28	222	12.61%	1.66	7 qc tools là gì	Công cụ cải tiến/quản lý	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Công cụ cải tiến/quản lý	Đang có click - nên tối ưu để tăng lead	Trung bình	Keyword thông tin - dùng internal link về trang dịch vụ
kaizen là gì	26	4374	0.59%	4.04	kaizen là gì	Công cụ cải tiến/quản lý	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Công cụ cải tiến/quản lý	Nhiều hiển thị - cần tối ưu CTR/title	Trung bình	Keyword thông tin - dùng internal link về trang dịch vụ
kna cert tuyển dụng	26	54	48.15%	1.06	kna cert tuyển dụng	Brand KNA	Khác	Đa ngành	Điều hướng	BOFU	Trang brand	Brand KNA	Đang có click - nên tối ưu để tăng lead	Trung bình	Brand query - kiểm tra trang đích và CTR
iso là gì	24	8188	0.29%	4.03	iso là gì	Chứng nhận ISO	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Chứng nhận ISO	Nhiều hiển thị - cần tối ưu CTR/title	Trung bình	Keyword thông tin - dùng internal link về trang dịch vụ
qa là công việc gì	24	1152	2.08%	4.14	qa là công việc gì	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Nhiều hiển thị - cần tối ưu CTR/title	Trung bình	Cần kiểm tra SERP trước khi quyết định page
viên nén gỗ	20	2508	0.8%	2.23	viên nén gỗ	Khác	Khác	Gỗ/xuất khẩu	Thông tin	TOFU	Bài blog/Pillar	Khác	Nhiều hiển thị - cần tối ưu CTR/title	Trung bình	Cần kiểm tra SERP trước khi quyết định page
eudr là gì	20	672	2.98%	2.65	eudr là gì	Chứng nhận xuất khẩu	Khác	Gỗ/xuất khẩu	Thông tin	TOFU	Bài blog/Pillar	Chứng nhận xuất khẩu	Đang có click - nên tối ưu để tăng lead	Trung bình	Keyword thông tin - dùng internal link về trang dịch vụ
bsci là gì	19	696	2.73%	2.14	bsci là gì	Audit/trách nhiệm xã hội	BSCI	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	BSCI	Đang có click - nên tối ưu để tăng lead	Trung bình	Keyword thông tin - dùng internal link về trang dịch vụ
fmea là công cụ gì	19	138	13.77%	1.93	fmea là công cụ gì	Công cụ cải tiến/quản lý	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Công cụ cải tiến/quản lý	Đang có click - nên tối ưu để tăng lead	Trung bình	Cần kiểm tra SERP trước khi quyết định page
tc là gì	18	1825	0.99%	2.78	tc là gì	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Nhiều hiển thị - cần tối ưu CTR/title	Trung bình	Keyword thông tin - dùng internal link về trang dịch vụ
iatf 16949 pdf	18	85	21.18%	4.51	iatf 16949 pdf	Khác	IATF 16949	Ô tô	Thông tin	TOFU	Tài nguyên/Download	IATF 16949	Đang có click - nên tối ưu để tăng lead	Trung bình	Có thể tạo lead magnet hoặc tài nguyên tải về
qa là làm gì	17	1087	1.56%	3.28	qa là làm gì	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Nhiều hiển thị - cần tối ưu CTR/title	Trung bình	Cần kiểm tra SERP trước khi quyết định page
kna cert là gì	16	48	33.33%	1.15	kna cert là gì	Brand KNA	Khác	Đa ngành	Điều hướng	BOFU	Trang brand	Brand KNA	Đang có click - nên tối ưu để tăng lead	Trung bình	Brand query - kiểm tra trang đích và CTR
lean 6 sigma	15	180	8.33%	2.94	lean 6 sigma	Công cụ cải tiến/quản lý	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Công cụ cải tiến/quản lý	Đang có click - nên tối ưu để tăng lead	Trung bình	Cần kiểm tra SERP trước khi quyết định page
7qc tools là gì	15	91	16.48%	1.56	7qc tools là gì	Công cụ cải tiến/quản lý	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Công cụ cải tiến/quản lý	Đang có click - nên tối ưu để tăng lead	Trung bình	Keyword thông tin - dùng internal link về trang dịch vụ
qcc	14	696	2.01%	6.04	qcc	Công cụ cải tiến/quản lý	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Công cụ cải tiến/quản lý	Đang có click - nên tối ưu để tăng lead	Trung bình	Cần kiểm tra SERP trước khi quyết định page
jit	13	973	1.34%	4.06	jit	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Đang có click - nên tối ưu để tăng lead	Trung bình	Cần kiểm tra SERP trước khi quyết định page
sa8000	13	529	2.46%	9.38	sa8000	Audit/trách nhiệm xã hội	SA8000	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	SA8000	Đang có click - nên tối ưu để tăng lead	Trung bình	Cần kiểm tra SERP trước khi quyết định page
sa8000 là gì	13	483	2.69%	4.44	sa8000 là gì	Audit/trách nhiệm xã hội	SA8000	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	SA8000	Đang có click - nên tối ưu để tăng lead	Trung bình	Keyword thông tin - dùng internal link về trang dịch vụ
qcc là gì	13	378	3.44%	3.44	qcc là gì	Công cụ cải tiến/quản lý	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Công cụ cải tiến/quản lý	Đang có click - nên tối ưu để tăng lead	Trung bình	Keyword thông tin - dùng internal link về trang dịch vụ
7qc tools	13	136	9.56%	5.33	7qc tools	Công cụ cải tiến/quản lý	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Công cụ cải tiến/quản lý	Đang có click - nên tối ưu để tăng lead	Trung bình	Cần kiểm tra SERP trước khi quyết định page
phương pháp kaizen pdf	13	37	35.14%	6.54	phương pháp kaizen pdf	Công cụ cải tiến/quản lý	Khác	Đa ngành	Thông tin	TOFU	Tài nguyên/Download	Công cụ cải tiến/quản lý	Đang có click - nên tối ưu để tăng lead	Trung bình	Có thể tạo lead magnet hoặc tài nguyên tải về
rba là gì	12	1559	0.77%	6.51	rba là gì	Audit/trách nhiệm xã hội	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Audit/trách nhiệm xã hội	Nhiều hiển thị - cần tối ưu CTR/title	Trung bình	Keyword thông tin - dùng internal link về trang dịch vụ
ehs là gì	12	902	1.33%	4.33	ehs là gì	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Đang có click - nên tối ưu để tăng lead	Trung bình	Keyword thông tin - dùng internal link về trang dịch vụ
ma trận swot là gì	12	876	1.37%	5.83	ma trận swot là gì	Công cụ cải tiến/quản lý	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Công cụ cải tiến/quản lý	Đang có click - nên tối ưu để tăng lead	Trung bình	Keyword thông tin - dùng internal link về trang dịch vụ
ehs	12	682	1.76%	3.63	ehs	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Đang có click - nên tối ưu để tăng lead	Trung bình	Cần kiểm tra SERP trước khi quyết định page
kanban board là gì	12	238	5.04%	4.22	kanban board là gì	Công cụ cải tiến/quản lý	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Công cụ cải tiến/quản lý	Đang có click - nên tối ưu để tăng lead	Trung bình	Keyword thông tin - dùng internal link về trang dịch vụ
iso 3834	12	195	6.15%	5.46	iso 3834	Chứng nhận ISO	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Chứng nhận ISO	Đang có click - nên tối ưu để tăng lead	Trung bình	Cần kiểm tra SERP trước khi quyết định page
7 tool qc	12	175	6.86%	4.98	7 tool qc	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Đang có click - nên tối ưu để tăng lead	Trung bình	Cần kiểm tra SERP trước khi quyết định page
tc	11	9996	0.11%	3.92	tc	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Nhiều hiển thị - cần tối ưu CTR/title	Trung bình	Cần kiểm tra SERP trước khi quyết định page
spc là gì	11	1329	0.83%	3.42	spc là gì	Công cụ cải tiến/quản lý	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Công cụ cải tiến/quản lý	Nhiều hiển thị - cần tối ưu CTR/title	Trung bình	Keyword thông tin - dùng internal link về trang dịch vụ
iso 9001 là gì	11	1216	0.9%	5.62	iso 9001 là gì	Chứng nhận ISO	ISO 9001	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	ISO 9001	Nhiều hiển thị - cần tối ưu CTR/title	Trung bình	Keyword thông tin - dùng internal link về trang dịch vụ
chứng nhận iso 9001	11	540	2.04%	9.76	chứng nhận iso 9001	Chứng nhận ISO	ISO 9001	Đa ngành	Thương mại	MOFU	Trang dịch vụ/So sánh	ISO 9001	Đang có click - nên tối ưu để tăng lead	Cao	Cần kiểm tra SERP trước khi quyết định page
kỹ sư qa	11	209	5.26%	2.59	kỹ sư qa	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Đang có click - nên tối ưu để tăng lead	Trung bình	Cần kiểm tra SERP trước khi quyết định page
smeta	10	6575	0.15%	5.95	smeta	Audit/trách nhiệm xã hội	SMETA/Sedex	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	SMETA/Sedex	Nhiều hiển thị - cần tối ưu CTR/title	Trung bình	Cần kiểm tra SERP trước khi quyết định page
sc là gì	10	1273	0.79%	3.34	sc là gì	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Nhiều hiển thị - cần tối ưu CTR/title	Trung bình	Keyword thông tin - dùng internal link về trang dịch vụ
chăn nuôi theo tiêu chuẩn vietgap	10	462	2.16%	3.01	chăn nuôi theo tiêu chuẩn vietgap	An toàn thực phẩm	Khác	Thực phẩm	Thông tin	TOFU	Bài blog/Pillar	An toàn thực phẩm	Đang có click - nên tối ưu để tăng lead	Trung bình	Keyword thông tin - dùng internal link về trang dịch vụ
sa 8000	10	265	3.77%	7.95	sa 8000	Audit/trách nhiệm xã hội	SA8000	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	SA8000	Đang có click - nên tối ưu để tăng lead	Trung bình	Cần kiểm tra SERP trước khi quyết định page
thực trạng vệ sinh an toàn thực phẩm hiện nay	10	102	9.8%	2.06	thực trạng vệ sinh an toàn thực phẩm hiện nay	Khác	Khác	Thực phẩm	Thông tin	TOFU	Bài blog/Pillar	Khác	Đang có click - nên tối ưu để tăng lead	Trung bình	Cần kiểm tra SERP trước khi quyết định page
chính sách an toàn thông tin	10	82	12.2%	3.44	chính sách an toàn thông tin	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Đang có click - nên tối ưu để tăng lead	Trung bình	Cần kiểm tra SERP trước khi quyết định page
gmp pdf	10	55	18.18%	3.06	gmp pdf	An toàn thực phẩm	GMP/cGMP	Thực phẩm	Thông tin	TOFU	Tài nguyên/Download	GMP/cGMP	Đang có click - nên tối ưu để tăng lead	Trung bình	Có thể tạo lead magnet hoặc tài nguyên tải về
7 công cụ quản lý chất lượng mới	10	34	29.41%	2.03	7 công cụ quản lý chất lượng mới	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Đang có click - nên tối ưu để tăng lead	Trung bình	Cần kiểm tra SERP trước khi quyết định page
fda	9	8576	0.1%	5.95	fda	Chứng nhận xuất khẩu	FDA	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	FDA	Nhiều hiển thị - cần tối ưu CTR/title	Trung bình	Cần kiểm tra SERP trước khi quyết định page
ctpat là gì	9	814	1.11%	4.61	ctpat là gì	Audit/trách nhiệm xã hội	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Audit/trách nhiệm xã hội	Có nhu cầu tìm kiếm - cần rà intent	Thấp	Keyword thông tin - dùng internal link về trang dịch vụ
wood pellet	9	326	2.76%	3.43	wood pellet	Khác	Khác	Gỗ/xuất khẩu	Thông tin	TOFU	Bài blog/Pillar	Khác	Có nhu cầu tìm kiếm - cần rà intent	Thấp	Cần kiểm tra SERP trước khi quyết định page
tín chỉ các bon rừng là gì	9	136	6.62%	1.04	tín chỉ các bon rừng là gì	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Có nhu cầu tìm kiếm - cần rà intent	Thấp	Keyword thông tin - dùng internal link về trang dịch vụ
iso 27001 pdf	9	104	8.65%	19.27	iso 27001 pdf	Chứng nhận ISO	ISO 27001	Đa ngành	Thông tin	TOFU	Tài nguyên/Download	ISO 27001	Có nhu cầu tìm kiếm - cần rà intent	Thấp	Có thể tạo lead magnet hoặc tài nguyên tải về
hệ thống 5s trong quản lý nhà xưởng	9	57	15.79%	1.72	hệ thống 5s trong quản lý nhà xưởng	Công cụ cải tiến/quản lý	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Công cụ cải tiến/quản lý	Long-tail/ưu tiên sau	Thấp	Cần kiểm tra SERP trước khi quyết định page
tiêu chuẩn iatf 16949 pdf	9	18	0.5	2.61	tiêu chuẩn iatf 16949 pdf	Khác	IATF 16949	Ô tô	Thông tin	TOFU	Tài nguyên/Download	IATF 16949	Long-tail/ưu tiên sau	Thấp	Có thể tạo lead magnet hoặc tài nguyên tải về
iso	8	6494	0.12%	4.77	iso	Chứng nhận ISO	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Chứng nhận ISO	Nhiều hiển thị - cần tối ưu CTR/title	Trung bình	Cần kiểm tra SERP trước khi quyết định page
swot	8	2650	0.3%	9.18	swot	Công cụ cải tiến/quản lý	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Công cụ cải tiến/quản lý	Nhiều hiển thị - cần tối ưu CTR/title	Trung bình	Cần kiểm tra SERP trước khi quyết định page
iso 9001:2015	8	1024	0.78%	6.49	iso 9001:2015	Chứng nhận ISO	ISO 9001	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	ISO 9001	Nhiều hiển thị - cần tối ưu CTR/title	Trung bình	Cần kiểm tra SERP trước khi quyết định page
duns	8	867	0.92%	5.06	duns	Chứng nhận xuất khẩu	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Chứng nhận xuất khẩu	Có nhu cầu tìm kiếm - cần rà intent	Thấp	Cần kiểm tra SERP trước khi quyết định page
certificate of analysis là gì	8	655	1.22%	2.74	certificate of analysis là gì	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Có nhu cầu tìm kiếm - cần rà intent	Thấp	Keyword thông tin - dùng internal link về trang dịch vụ
poka yoke là gì	8	344	2.33%	3.99	poka yoke là gì	Công cụ cải tiến/quản lý	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Công cụ cải tiến/quản lý	Có nhu cầu tìm kiếm - cần rà intent	Thấp	Keyword thông tin - dùng internal link về trang dịch vụ
viên gỗ nén	8	222	3.6%	2.02	viên gỗ nén	Khác	Khác	Gỗ/xuất khẩu	Thông tin	TOFU	Bài blog/Pillar	Khác	Có nhu cầu tìm kiếm - cần rà intent	Thấp	Cần kiểm tra SERP trước khi quyết định page
thực trạng thực phẩm bẩn	8	197	4.06%	3.09	thực trạng thực phẩm bẩn	Khác	Khác	Thực phẩm	Thông tin	TOFU	Bài blog/Pillar	Khác	Có nhu cầu tìm kiếm - cần rà intent	Thấp	Cần kiểm tra SERP trước khi quyết định page
kỹ sư qa là gì	8	161	4.97%	3.31	kỹ sư qa là gì	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Có nhu cầu tìm kiếm - cần rà intent	Thấp	Keyword thông tin - dùng internal link về trang dịch vụ
fmea trong sản xuất là gì	8	121	6.61%	2.17	fmea trong sản xuất là gì	Công cụ cải tiến/quản lý	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Công cụ cải tiến/quản lý	Có nhu cầu tìm kiếm - cần rà intent	Thấp	Keyword thông tin - dùng internal link về trang dịch vụ
tiêu chuẩn bsci	8	98	8.16%	1.62	tiêu chuẩn bsci	Audit/trách nhiệm xã hội	BSCI	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	BSCI	Long-tail/ưu tiên sau	Thấp	Keyword thông tin - dùng internal link về trang dịch vụ
download tiêu chuẩn iatf 16949 2016 pdf	8	41	19.51%	4.73	download tiêu chuẩn iatf 16949 2016 pdf	Khác	IATF 16949	Ô tô	Thông tin	TOFU	Tài nguyên/Download	IATF 16949	Long-tail/ưu tiên sau	Thấp	Có thể tạo lead magnet hoặc tài nguyên tải về
swot là gì	7	3382	0.21%	8.05	swot là gì	Công cụ cải tiến/quản lý	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Công cụ cải tiến/quản lý	Nhiều hiển thị - cần tối ưu CTR/title	Trung bình	Keyword thông tin - dùng internal link về trang dịch vụ
