expert,group,confidence,method,reason,post_id,title,url,date,modified,categories,tags
Cao Th? Hi?p,L?m nghi?p/FSC/EUDR,Trung b?nh,keyword,fsc,4070,7 Ưu điểm của sản phẩm gỗ được chứng nhận FSC,https://knacert.com.vn/tin-tuc-tieu-chuan/7-uu-diem-cua-san-pham-go-duoc-chung-nhan-fsc/,2020-05-03T14:14:05,2026-05-18T09:23:39,"Tin tức, Tin Tức Tiêu Chuẩn",
Cao Th? Hi?p,L?m nghi?p/FSC/EUDR,Cao,keyword,fsc; pefc; eudr,13829,Chứng nhận EUDR: Xác minh tuân thủ Quy định chống phá rừng EU,https://knacert.com.vn/tin-tuc-tieu-chuan/chung-nhan-eudr-xac-minh-tuan-thu-quy-dinh-chong-pha-rung-eu/,2025-09-23T05:00:51,2026-05-18T09:37:10,Tin Tức Tiêu Chuẩn,
Cao Th? Hi?p,L?m nghi?p/FSC/EUDR,Trung b?nh,keyword,g?,12413,Chứng nhận HACCP có phải là chứng nhận Organic hay không?,https://knacert.com.vn/tin-tuc-tieu-chuan/chung-nhan-haccp-co-phai-la-chung-nhan-organic-hay-khong/,2024-11-21T06:28:06,2026-05-18T09:49:02,Tin Tức Tiêu Chuẩn,
Cao Th? Hi?p,L?m nghi?p/FSC/EUDR,Trung b?nh,keyword,g?,12551,Chứng nhận HACCP có áp dụng trong sản xuất bia không?,https://knacert.com.vn/tin-tuc-tieu-chuan/chung-nhan-haccp-co-ap-dung-trong-san-xuat-bia-khong/,2024-11-26T03:52:01,2026-05-18T09:49:14,Tin Tức Tiêu Chuẩn,
Cao Th? Hi?p,L?m nghi?p/FSC/EUDR,Trung b?nh,keyword,g?,25189,Có nên thuê đơn vị tư vấn EcoVadis chuyên nghiệp không? Khi nào cần?,https://knacert.com.vn/tin-tuc-tieu-chuan/co-nen-thue-don-vi-tu-van-ecovadis-chuyen-nghiep-khong-khi-nao-can/,2026-03-21T03:14:09,2026-05-18T09:38:23,Tin Tức Tiêu Chuẩn,ecovadis
Cao Th? Hi?p,L?m nghi?p/FSC/EUDR,Trung b?nh,keyword,g?,12424,Doanh nghiệp có chứng nhận HACCP thì có cần chứng nhận HALAL không?,https://knacert.com.vn/tin-tuc-tieu-chuan/doanh-nghiep-co-chung-nhan-haccp-thi-co-can-chung-nhan-halal-khong/,2024-11-21T06:29:26,2026-05-18T09:49:03,Tin Tức Tiêu Chuẩn,
Cao Th? Hi?p,L?m nghi?p/FSC/EUDR,Trung b?nh,keyword,fsc,24566,Dự án Học Viện Mekong – An Toàn Thực Phẩm (MI-FSP) Thúc đẩy an toàn thực phẩm trong GMS,https://knacert.com.vn/tin-tuc-tieu-chuan/du-an-hoc-vien-mekong-an-toan-thuc-pham-mi-fsp-thuc-day-an-toan-thuc-pham-trong-gms/,2019-07-02T02:31:05,2026-03-03T02:32:26,"Tin Tức Tiêu Chuẩn, Tin tức",
Cao Th? Hi?p,L?m nghi?p/FSC/EUDR,Cao,keyword,eudr; forest; deforestation,13647,EUDR là gì? Tất tần tật Quy định chống phá rừng EU mới nhất (2023/1115),https://knacert.com.vn/tin-tuc-tieu-chuan/eudr-la-gi-tat-tan-tat-quy-dinh-chong-pha-rung-eu-moi-nhat-20231115/,2025-07-21T02:13:27,2026-05-18T09:36:56,Tin Tức Tiêu Chuẩn,
Cao Th? Hi?p,L?m nghi?p/FSC/EUDR,Trung b?nh,keyword,fsc,4424,HACCP là gì? Quy trình xây dựng và áp dụng HACCP cho Doanh Nghiệp,https://knacert.com.vn/cong-cu-cai-tien/dao-tao-fsccoc-cho-cong-ty-tnhh-in-bao-bi-khang-nghi/,2020-06-22T03:55:04,2026-02-06T07:03:40,Công cụ cải tiến,
Cao Th? Hi?p,L?m nghi?p/FSC/EUDR,Trung b?nh,keyword,fsc,1865,Hàng gỗ xuất khẩu cần chứng chỉ rừng,https://knacert.com.vn/tin-tuc/hang-go-xuat-khau-can-chung-chi-rung/,2018-11-16T04:19:27,2025-11-21T04:58:16,Tin tức,
Cao Th? Hi?p,L?m nghi?p/FSC/EUDR,Trung b?nh,keyword,g?,8647,ISO 14001 có bắt buộc không?,https://knacert.com.vn/tin-tuc-tieu-chuan/iso-14001-co-bat-buoc-khong/,2023-03-21T03:31:18,2026-05-18T09:32:09,Tin Tức Tiêu Chuẩn,
Cao Th? Hi?p,L?m nghi?p/FSC/EUDR,Trung b?nh,keyword,g?,13826,ISO 9001 & ISO 14001: Chọn gì cho doanh nghiệp bền vững?,https://knacert.com.vn/tin-tuc-tieu-chuan/iso-9001-iso-14001/,2025-09-23T04:25:51,2026-05-18T09:37:05,Tin Tức Tiêu Chuẩn,
Cao Th? Hi?p,L?m nghi?p/FSC/EUDR,Trung b?nh,keyword,g?,13539,Khí CH4 có gây hiệu ứng nhà kính không? Các biện pháp giúp giảm phát thải khí CH4,https://knacert.com.vn/tin-tuc-tieu-chuan/khi-ch4-co-gay-hieu-ung-nha-kinh-khong-cac-bien-phap-giup-giam-phat-thai-khi-ch4/,2025-07-14T10:21:42,2026-05-18T09:50:33,Tin Tức Tiêu Chuẩn,
Cao Th? Hi?p,L?m nghi?p/FSC/EUDR,Trung b?nh,keyword,fsc,9404,KNA hợp tác với TUV đánh giá tiêu chuẩn FSC®COC tại Việt Nam,https://knacert.com.vn/su-kien-va-chuong-trinh/kna-hop-tac-voi-tuv-danh-gia-tieu-chuan-fsc-tai-viet-nam/,2023-07-06T10:44:16,2026-05-18T13:04:11,Sự kiện & Chương trình,
Cao Th? Hi?p,L?m nghi?p/FSC/EUDR,Trung b?nh,keyword,g?,13518,Nhà máy không có HACCP có được không? Các doanh nghiệp nào nên áp dụng HACCP?,https://knacert.com.vn/tin-tuc-nganh-nghe/nha-may-khong-co-haccp-co-duoc-khong-cac-doanh-nghiep-nao-nen-ap-dung-haccp/,2025-07-09T10:23:57,2026-05-18T11:07:09,"Tin tức ngành nghề, Tin Tức Tiêu Chuẩn",
Cao Th? Hi?p,L?m nghi?p/FSC/EUDR,Trung b?nh,keyword,pefc,9226,PEFC là gì? Tiêu chuẩn PEFC/CoC/FM và Chứng chỉ rừng,https://knacert.com.vn/tin-tuc-tieu-chuan/pefc-la-gi-tieu-chuan-pefccocfm-va-chung-chi-rung/,2023-06-23T03:46:26,2026-05-18T09:33:12,Tin Tức Tiêu Chuẩn,
Cao Th? Hi?p,L?m nghi?p/FSC/EUDR,Trung b?nh,keyword,g?,2234,Tránh nhầm lẫn giữa tiêu chuẩn và quy chuẩn,https://knacert.com.vn/tin-tuc-tieu-chuan/tranh-nham-lan-giua-tieu-chuan-va-quy-chuan/,2019-03-18T02:25:38,2026-02-06T07:01:40,Tin Tức Tiêu Chuẩn,
Cao Th? Hi?p,L?m nghi?p/FSC/EUDR,Trung b?nh,keyword,g?,8225,Tại sao quy trình chuẩn SOP quan trọng?,https://knacert.com.vn/cong-cu-cai-tien/tai-sao-quy-trinh-chuan-sop-quan-trong/,2022-12-20T02:12:00,2026-05-18T09:31:32,Công cụ cải tiến,
Cao Th? Hi?p,L?m nghi?p/FSC/EUDR,Trung b?nh,keyword,forest,8203,Viên nén lập kỷ lục xuất khẩu trong nhóm ngành gỗ,https://knacert.com.vn/tin-tuc-nganh-nghe/vien-nen-lap-ky-luc-xuat-khau-trong-nhom-nganh-go/,2022-12-14T02:12:44,2026-02-06T07:09:10,Tin tức ngành nghề,
