expert,group,confidence,method,reason,post_id,title,url,date,modified,categories,tags
Ph?m Minh Lu?n,T?ng quan/ISO r?ng/Corporate,C?n r? so?t,default_fallback,Fallback cho b?i tin t?c/ti?u chu?n ch?a c? t? kh?a chuy?n ng?nh r?,13090,10 biện pháp xử lý chất thải giảm phát thải khí nhà kính hiệu quả,https://knacert.com.vn/tin-tuc-nganh-nghe/10-bien-phap-xu-ly-chat-thai-giam-phat-thai-khi-nha-kinh-hieu-qua/,2025-03-14T08:21:31,2026-02-06T07:15:17,Tin tức ngành nghề,
Ph?m Minh Lu?n,T?ng quan/ISO r?ng/Corporate,C?n r? so?t,default_fallback,Fallback cho b?i tin t?c/ti?u chu?n ch?a c? t? kh?a chuy?n ng?nh r?,1113,"10 ĐIỀU CẦN BIẾT VỀ AN TOÀN, VỆ SINH LAO ĐỘNG",https://knacert.com.vn/tin-tuc-tieu-chuan/10-dieu-can-biet-ve-an-toan-ve-sinh-lao-dong/,2018-04-10T02:45:08,2026-02-06T07:00:15,Tin Tức Tiêu Chuẩn,
Ph?m Minh Lu?n,T?ng quan/ISO r?ng/Corporate,C?n r? so?t,default_fallback,Fallback cho b?i tin t?c/ti?u chu?n ch?a c? t? kh?a chuy?n ng?nh r?,3857,"160 công ty thực phẩm Philipine đạt được chứng nhận Kosher, sẵn sàng xuất khẩu sang thị trường Israel và Mỹ.",https://knacert.com.vn/khach-hang/160-cong-ty-thuc-pham-philipine-dat-duoc-chung-nhan-kosher-san-sang-xuat-khau-sang-thi-truong-israel-va-my/,2020-03-02T01:53:12,2026-02-06T07:03:00,Khách Hàng,
Ph?m Minh Lu?n,T?ng quan/ISO r?ng/Corporate,Trung b?nh,keyword,iso 27001,4317,3 lý do tại sao ISO 27001 giúp bảo vệ thông tin bí mật trong các công ty luật,https://knacert.com.vn/khach-hang/3-ly-do-tai-sao-iso-27001-giup-bao-ve-thong-tin-bi-mat-trong-cac-cong-ty-luat/,2020-06-09T04:17:31,2026-02-06T07:03:30,Khách Hàng,
Ph?m Minh Lu?n,T?ng quan/ISO r?ng/Corporate,C?n r? so?t,default_fallback,Fallback cho b?i tin t?c/ti?u chu?n ch?a c? t? kh?a chuy?n ng?nh r?,4234,5 lý do khiến số D-U-N-S® có thể mang lại lợi ích cho Doanh Nghiệp bạn,https://knacert.com.vn/tin-tuc-tieu-chuan/5-ly-do-khien-so-d-u-n-s-co-the-mang-lai-loi-ich-cho-doanh-nghiep-ban/,2020-05-28T14:36:53,2026-05-18T09:23:51,Tin Tức Tiêu Chuẩn,
Ph?m Minh Lu?n,T?ng quan/ISO r?ng/Corporate,Trung b?nh,keyword,iso 9001,8279,5 Nhóm Doanh Nghiệp bắt buộc phải có Chứng nhận ISO 9001,https://knacert.com.vn/tin-tuc-tieu-chuan/5-nhom-doanh-nghiep-bat-buoc-phai-co-chung-nhan-iso-9001/,2022-12-26T03:10:51,2026-02-06T07:09:17,Tin Tức Tiêu Chuẩn,
Ph?m Minh Lu?n,T?ng quan/ISO r?ng/Corporate,C?n r? so?t,default_fallback,Fallback cho b?i tin t?c/ti?u chu?n ch?a c? t? kh?a chuy?n ng?nh r?,3658,5 quan niệm sai lầm phổ biến về Cà Phê Thương Mại Bình Đẳng.,https://knacert.com.vn/tin-tuc-tieu-chuan/5-quan-niem-sai-lam-pho-bien-ve-ca-phe-thuong-mai-binh-dang/,2019-12-25T10:18:29,2026-02-06T07:02:48,Tin Tức Tiêu Chuẩn,
Ph?m Minh Lu?n,T?ng quan/ISO r?ng/Corporate,Trung b?nh,keyword,iso 9001,12861,6 ngành phải áp dụng ISO 9001 – KNA CERT,https://knacert.com.vn/tin-tuc-tieu-chuan/6-nganh-phai-ap-dung-iso-9001-kna-cert/,2024-12-12T01:40:49,2026-05-18T09:49:37,Tin Tức Tiêu Chuẩn,
Ph?m Minh Lu?n,T?ng quan/ISO r?ng/Corporate,C?n r? so?t,default_fallback,Fallback cho b?i tin t?c/ti?u chu?n ch?a c? t? kh?a chuy?n ng?nh r?,25299,7 Công cụ quản lý chất lượng (7QC Tools) là gì? Hướng dẫn áp dụng thực tế,https://knacert.com.vn/cong-cu-cai-tien/7-cong-cu-quan-ly-chat-luong-trong-san-xuat-7qc-la-gi/,2018-09-04T08:21:02,2026-04-17T09:58:08,Công cụ cải tiến,
Ph?m Minh Lu?n,T?ng quan/ISO r?ng/Corporate,C?n r? so?t,default_fallback,Fallback cho b?i tin t?c/ti?u chu?n ch?a c? t? kh?a chuy?n ng?nh r?,5195,7 Loại lãng phí trong sản xuất là gì? Cách nhận diện & loại bỏ hiệu quả,https://knacert.com.vn/cong-cu-cai-tien/7-loai-lang-phi-trong-san-xuat-la-gi-cach-nhan-dien-va-loai-bo/,2020-12-23T01:30:27,2026-05-18T09:25:04,Công cụ cải tiến,
