"type","id","status","title","link","match_type","needle","image_count","images","text_preview"
"posts","1197","publish","Huấn Luyện Cấp chứng chỉ An toàn Lao động theo NĐ 44 mới nhất","https://knacert.com.vn/tin-tuc-dao-tao/tai-sao-phai-huan-luyen-an-toan-lao-dong/","known_asset_reference","known_cta_asset","1","https://knacert.com.vn/wp-content/uploads/2025/11/dao-tao-iso-duoc-thien-an-knacert-322.png","n ẩn rủi ro tai nạn lao động cho người lao động. Các loại tai nạn lao động luôn rình rập và có thể xảy ra bất kì lúc nào với người lao động. Hậu quả của những tai nạn đó có thể nhẹ hoặc khá nặng nề và dai dẳng. Mọi nguyên nhân gây ra phần lớn đến từ sự chủ quan không đảm bảo an t"
"posts","1197","publish","Huấn Luyện Cấp chứng chỉ An toàn Lao động theo NĐ 44 mới nhất","https://knacert.com.vn/tin-tuc-dao-tao/tai-sao-phai-huan-luyen-an-toan-lao-dong/","standalone_img_cta_candidate","https://knacert.com.vn/wp-content/uploads/2025/11/44.png","2","https://knacert.com.vn/wp-content/uploads/2025/11/44.png | https://knacert.com.vn/wp-content/uploads/2025/11/33.png","Qua bảng trên bạn đã thấy phần lớn các tai nạn lao động thường xuất phát từ những hành vi bất cẩn và chủ quan của con người gây ra. Chúng làm thiệt hại cho doanh nghiệp lẫn chính người lao động khi bị tai nạn. Tai nạn có thể phòng ngừa nếu chúng ta ý thức đúng đắn về những hành v"
"posts","1197","publish","Huấn Luyện Cấp chứng chỉ An toàn Lao động theo NĐ 44 mới nhất","https://knacert.com.vn/tin-tuc-dao-tao/tai-sao-phai-huan-luyen-an-toan-lao-dong/","standalone_img_cta_candidate","https://knacert.com.vn/wp-content/uploads/2025/11/nut-01-1.png","3","https://knacert.com.vn/wp-content/uploads/2025/11/nut-01-1.png | https://knacert.com.vn/wp-content/uploads/2025/11/nut-02-1.png | https://knacert.com.vn/wp-content/uploads/2025/11/nut-03-1.png","Căn cứ pháp luật về việc tổ chức khóa huấn luyện an toàn lao động: ➡ Luật An toàn vệ sinh Lao động số 84/2015/QH13 được Quốc hội thông qua ( 25/06/2015) có hiệu lực từ ngày 01/07/2016. ➡ Nghị định số 44/2016/NĐ-CP ban hành ngày 15/05/2016. Giảng viên giảng dạy đào tạo huấn luyện "
"posts","1197","publish","Huấn Luyện Cấp chứng chỉ An toàn Lao động theo NĐ 44 mới nhất","https://knacert.com.vn/tin-tuc-dao-tao/tai-sao-phai-huan-luyen-an-toan-lao-dong/","table_cta_candidate","contact_href+cta_filename+button_dimensions+cta_text_or_phone","2","https://knacert.com.vn/wp-content/uploads/2025/11/44.png | https://knacert.com.vn/wp-content/uploads/2025/11/33.png",""
"posts","1322","publish","Chứng chỉ ISO 9001:2015 có hiệu lực trong bao lâu ?","https://knacert.com.vn/phat-trien-ben-vung/chung-chi-iso-90012015-co-hieu-luc-trong-bao-lau/","table_cta_candidate","cta_text_or_phone","0","","✅⭐ Dấu IAF Công nhận Quốc tế ? KNA CERT Cung cấp nhiều Dịch vụ trọn gói cho quý khách hàng ! ✅⭐ Thủ tục đăng ký chuyên nghiệp ? Với đội ngũ chuyên gia giàu kinh nghiệm, KNA Cert cung cấp dịch vụ chuyên nghiệp nhất cho quý khách hàng ✅⭐ Chính sách hậu mãi sau chứng nhận ? salesman"
"posts","1336","publish","Sự khác nhau giữa ISO 9000 và tiêu chuẩn TQM","https://knacert.com.vn/phat-trien-ben-vung/su-khac-nhau-giua-iso-9000-va-tieu-chuan-tqm/","table_cta_candidate","cta_text_or_phone","0","","✅⭐ Dấu IAF Công nhận Quốc tế ? KNA CERT Cung cấp nhiều Dịch vụ trọn gói cho quý khách hàng ! ✅⭐ Thủ tục đăng ký ? Với đội ngũ chuyên gia giàu kinh nghiệm, KNA Cert cung cấp dịch vụ chuyên nghiệp nhất cho quý khách hàng ✅⭐ Chính sách hậu mãi sau chứng nhận ? salesmanager@knacert.c"
"posts","1682","publish","Tiêu chuẩn BRC là gì ? Hệ thống An toàn thực phẩm Quốc tế","https://knacert.com.vn/phat-trien-ben-vung/nhung-cau-hoi-tuong-gap-ve-tieu-chuan-brc-an-toan-thuc-pham/","known_asset_reference","known_cta_asset","3","https://knacert.com.vn/wp-content/uploads/2025/11/nut-01-1.png | https://knacert.com.vn/wp-content/uploads/2025/11/nut-02-1.png | https://knacert.com.vn/wp-content/uploads/2025/11/nut-03-1-1.png","rong> Liên hệ với chúng tôi TỔ CHỨC CHỨNG NHẬN KNA CERT"
"posts","1682","publish","Tiêu chuẩn BRC là gì ? Hệ thống An toàn thực phẩm Quốc tế","https://knacert.com.vn/phat-trien-ben-vung/nhung-cau-hoi-tuong-gap-ve-tieu-chuan-brc-an-toan-thuc-pham/","table_cta_candidate","contact_href+cta_filename+button_dimensions+cta_text_or_phone","3","https://knacert.com.vn/wp-content/uploads/2025/11/nut-01-1.png | https://knacert.com.vn/wp-content/uploads/2025/11/nut-02-1.png | https://knacert.com.vn/wp-content/uploads/2025/11/nut-03-1-1.png",""
"posts","1751","publish","KHÓA HỌC ĐÀO TẠO NHẬN THỨC VÀ ĐÁNH GIÁ NỘI BỘ TIÊU CHUẨN TRÁCH NHIỆM XÃ HỘI ( BSCI, WRAP, SEDEX)","https://knacert.com.vn/su-kien-va-chuong-trinh/khoa-hoc-dao-tao-nhan-thuc-va-danh-gia-noi-bo-tieu-chuan-trach-nhiem-xa-hoi-bsci-wrap-sedex/","known_asset_reference","known_cta_asset","1","https://knacert.com.vn/wp-content/uploads/2025/11/khoa-hoc-tieu-chuan-csr.png","Doanh Nghiệp Việt Nam quan tâm đến trách nhiệm xã hội. Điều này cho biết rằng Doanh Nghiệp đó ngoài hoạt động kinh doanh có đạo đức ra còn có trách nhiệm với người lao động, môi trường và xã hội vv. Cụ thể là ngày càng nhiều Doanh Nghiệp áp dụng tiêu chuẩn đánh giá trách nhiệm xã"
"posts","1751","publish","KHÓA HỌC ĐÀO TẠO NHẬN THỨC VÀ ĐÁNH GIÁ NỘI BỘ TIÊU CHUẨN TRÁCH NHIỆM XÃ HỘI ( BSCI, WRAP, SEDEX)","https://knacert.com.vn/su-kien-va-chuong-trinh/khoa-hoc-dao-tao-nhan-thuc-va-danh-gia-noi-bo-tieu-chuan-trach-nhiem-xa-hoi-bsci-wrap-sedex/","standalone_img_cta_candidate","https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-button-win2888.png","1","https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-button-win2888.png","ĐỐI TƯỢNG THAM GIA KHÓA HỌC TRÁCH NHIỆM XÃ HỘI Lãnh đạo, trưởng phó bộ phận Nhân sự, Kế toán, Tổ chức công đoàn, Ban OH&amp;S, Y tế, PCCC, bếp ăn… Lãnh đạo quản lý cấp trung và cao (để hiểu và chỉ đạo) Nhân sự quan trọng tại các đơn vị/ bộ phận phòng ban trong doanh nghiệp ( để h"
"posts","1853","publish","Chương trình an ninh chuỗi cung ứng: Tác động tích cực cho người gửi hàng","https://knacert.com.vn/tin-tuc-tieu-chuan/chuong-trinh-an-ninh-chuoi-cung-ung-tac-dong-tich-cuc-cho-nguoi-gui-hang/","known_asset_reference","known_cta_asset","1","https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-button-win2888.png","cả các chương trình này của Hoa Kỳ thuộc Cục Hải quan và Bảo vệ Biên giới (CBP) và Cục an ninh giao thông vận tải (TSA). (AEO) Chương trình nhà điều hành kinh tế được ủy quyền của liên minh châu Âu cũng có yếu tố bảo mật phản ánh chặt chẽ trong một số chương trình này. Nếu anh ch"
"posts","1853","publish","Chương trình an ninh chuỗi cung ứng: Tác động tích cực cho người gửi hàng","https://knacert.com.vn/tin-tuc-tieu-chuan/chuong-trinh-an-ninh-chuoi-cung-ung-tac-dong-tich-cuc-cho-nguoi-gui-hang/","standalone_img_cta_candidate","https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-button-win2888.png","1","https://knacert.com.vn/wp-content/uploads/2025/11/dang-ky-button-win2888.png","CTPAT, CCSP, CSI, FAST, ISF and AEO. Những tiêu chuẩn này có đặc điểm gì chung ? Chúng đều là các chương trình an ninh chuỗi cung ứng do chính phủ tài trợ. Cụ thể như sau: C-TPAT : Đối tác hải quan - thương mại chống khủng bố CCSP: Chương trình kiểm tra hàng hóa được chứng nhận. "
"posts","1876","publish","Tiêu chuẩn ISO 22000 ‘bệ đỡ’ cho sản phẩm thực phẩm an toàn, chất lượng","https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-22000-be-do-cho-san-pham-thuc-pham-an-toan-chat-luong/","table_cta_candidate","cta_text_or_phone","0","","✅⭐ Chứng chỉ Hiệu lực Toàn cầu ? Chứng nhận công nhận có hiệu lực Toàn cầu ✅⭐ Chi phí đánh giá tốt ? Với đội ngũ chuyên gia giàu kinh nghiệm, KNA Cert cung cấp dịch vụ chuyên nghiệp nhất cho quý khách hàng ✅⭐ Mở rộng Thị trường bán hàng ? salesmanager@knacert.com ✅⭐ Tấm vé thông "
"posts","1938","publish","Câu hỏi về Hệ Thống Quản Lý Môi Trường ISO 14001","https://knacert.com.vn/phat-trien-ben-vung/cau-hoi-ve-he-thong-quan-ly-moi-truong-iso-14001/","table_cta_candidate","cta_text_or_phone","0","","✅⭐ Dấu IAF Công nhận Quốc tế ? KNA CERT Cung cấp nhiều Dịch vụ trọn gói cho quý khách hàng ! ✅⭐ Thủ tục đăng ký ? Với đội ngũ chuyên gia giàu kinh nghiệm, KNA Cert cung cấp dịch vụ chuyên nghiệp nhất cho quý khách hàng ✅⭐ Chính sách hậu mãi sau chứng nhận ? salesmanager@knacert.c"
